country,name,full_name,tag,isin,id,currency,symbol
brazil,TRIUNFO PART ON,TRIUNFO PART ON NM,triunfo-part-on-nm,BRTPISACNOR8,18802,BRL,TPIS3
brazil,TRISUL ON,Trisul SA,trisul-on-nm,BRTRISACNOR4,18803,BRL,TRIS3
brazil,TAESA UNT,TAESA UNT N2,taesa-unt-n2,BRTAEECDAM10,18804,BRL,TAEE11
brazil,TRAN PAULIST PN,CTEEP Cia de Transmissao de Energia,tran-paulist-pn,BRTRPLACNPR1,18805,BRL,TRPL4
brazil,TARPON INV ON,Tarpon Investimentos SA,tarpon-inv-on-nm,BRTRPNACNOR0,18806,BRL,TRPN3
brazil,ULTRAPAR ON NM,Ultrapar Participacoes SA,ultrapar-on-nm,BRUGPAACNOR8,18807,BRL,UGPA3
brazil,UNIPAR ON,Unipar Carbocloro SA,unipar-on-n1,BRUNIPACNOR7,18808,BRL,UNIP3
brazil,UNIPAR PNB,Unipar Carbocloro SA,unipar-pnb-n1,BRUNIPACNPB8,18809,BRL,UNIP6
brazil,USIMINAS ON,Usinas Siderurgicas de Minas Gerais,usiminas-on,BRUSIMACNOR3,18811,BRL,USIM3
brazil,USIMINAS PNA,Usinas Siderurgicas de Minas Gerais,usiminas-pna,BRUSIMACNPA6,18812,BRL,USIM5
brazil,TERRA SANTA ON,Terra Santa Agro SA,v-agro-on,BRTESAACNOR9,18813,BRL,TESA3
brazil,VALE ON,Vale SA,vale-on-n1,BRVALEACNOR0,18814,BRL,VALE3
brazil,VIVER ON,Viver Incorporadora e Construtora,viver-on-nm,BRVIVRACNOR4,18816,BRL,VIVR3
brazil,TELEF BRASIL ON,Telefonica Brasil SA,telef-brasil-on,BRVIVTACNOR0,18817,BRL,VIVT3
brazil,TELEF BRASIL PN,Telefonica Brasil SA,telef-brasil-pn,BRVIVTACNPR7,18818,BRL,VIVT4
brazil,VALID ON,VALID ON NM,valid-on-nm,BRVLIDACNOR5,18819,BRL,VLID3
brazil,WEG ON,WEG SA,weg-on-ej-nm,BRWEGEACNOR0,18820,BRL,WEGE3
brazil,BANRISUL PNA,BANRISUL PNA N1,banrisul-pna-n1,BRBRSRACNPA6,30637,BRL,BRSR5
brazil,CESP PNA,Cia Energetica de Sao Paulo,cesp-pna,BRCESPACNPA6,30638,BRL,CESP5
brazil,ELETROPAULO ON,ELETROPAULO ON N2,eletropaulo-on-n2,BRELPLACNOR9,30640,BRL,ELPL3
brazil,SANTANDER BRPN,Banco Santander Brasil SA,banco-santander-brasil-sa,BRSANBACNPR5,30641,BRL,SANB4
brazil,Santos Brasil Participacoes,Santos Brasil Participacoes SA,santos-brp-on-n2,BRSTBPACNOR3,30642,BRL,STBP3
